Period,Region,District,Sub_District,Halte_Name,Location,Longitude,Latitude
2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Kebon Sirih Arah Selatan,Jalan Mohammad Husni Thamrin,106.8232317,-6.184195
2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Monumen Nasional,Jalan Medan Merdeka Barat,106.822855,-6.176248
2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pulo Mas Bypass,Jalan Ahmad Yani,106.876002,-6.176953
2024,Kota Tangerang,Ciledug,Larangan Utara,Puri Beta 1,Jalan Ciledug Raya,106.726023,-6.230596
2024,Kota Tangerang,Ciledug,Larangan Utara,Puri Beta 2,Jalan Haji Oemar Said Cokroaminoto,106.723705,-6.230532
2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Ragunan,Trans Jakarta Busway Koridor 6,106.819485,-6.305769
2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Rawa Barat,Jalan Robert Wolter Monginsidi,106.816243,-6.238947
2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Rawa Buaya,Jalan Daan Mogot,106.726188,-6.153916
2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Rawa Selatan,Jalan Letnan Jenderal Suprapto,106.858088,-6.173925
2024,Kota Adm. Jakarta Timur,Cakung,Ujung Menteng,Raya Bekasi Pulo Gebang,Jalan Bekasi Raya,106.959869,-6.187604
2024,Kota Adm. Jakarta Timur,Ciracas,Pasar Rebo,Trikora,Jalan Raya Bogor,106.868028,-6.301956
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Kali Grogol Arah Selatan,Jalan Latu Menten,106.790973,-6.160376
2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Pancoran Arah Timur,Jalan MT Haryono,106.838075,-6.241571
2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Sumur Batu,Jalan Letnan Jenderal Suprapto,106.87027,-6.168676
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Roxy,Jalan Kyai Tapa,106.796746,-6.166294
2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Tarakan,Jalan Kyai Caringin,106.81011,-6.171146
2024,Kota Adm. Jakarta Pusat,Senen,Senen,RSPAD,Sal PHB Jalan Kwini,106.836739,-6.175485
2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Pancoran Arah Barat,Jalan Jenderal Gatot Subroto,106.8372,-6.241672
2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kota Bambu Arah Utara,Jalan Letnan Jenderal Siswondo Parman,106.796743,-6.184489
2024,Kota Adm. Jakarta Pusat,Senen,Senen,Paseban,Jalan Salemba Raya,106.851016,-6.196781
2024,Kota Adm. Jakarta Pusat,Senen,Senen,Salemba,Jalan Salemba Raya,106.848912,-6.193373
2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,MH Thamrin,Jalan Mohammad Husni Thamrin,106.822987,-6.188149
2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kota Bambu Arah Selatan,Jalan S Parman,106.797088,-6.185221
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Tanjung Duren Arah Barat,Jalan Letnan Jenderal S. Parman,106.792228,-6.175587
2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Tanjung Duren Arah Timur,Jalan Letnan Jenderal S. Parman,106.793075,-6.175799
2024,Kota Adm. Jakarta Pusat,Senen,Senen,Pasar Senen,Jalan Letnan Jenderal Suprapto,106.842505,-6.178211
2024,Kota Adm. Jakarta Pusat,Senen,Senen,Senen Sentral,Jalan Kramat Raya,106.841973,-6.178287
2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Seskoal,Jalan Ciledug Raya,106.771205,-6.238064
2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Setiabudi,Jalan Hajjah R. Rasuna Said,106.830237,-6.209189
2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Simprug,Jalan Teuku Nyak Arief,106.786471,-6.233935
2024,Kota Adm. Jakarta Timur,Matraman,Matraman,Kesatrian,Jalan Matraman,106.859289,-6.208533
2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Gerbang Pemuda Arah Barat,Jalan Jenderal Gatot Subroto,106.808407,-6.213906
2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Gerbang Pemuda Arah Timur,Jalan Gatot Subroto,106.809004,-6.214145
2024,Kota Adm. Jakarta Barat,Palmerah,Palmerah,Kemanggisan Arah Utara,Jalan Letnan Jenderal Siswondo Parman,106.796941,-6.189906
2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Jati Barat,Jalan Buncit Raya,106.823649,-6.290967
