koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.888995,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Boulevard Barat,Jalan Yos Sudarso,-6.14965
106.870813,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Karya,Jalan Danau Sunter Utara,-6.137625
106.89076,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Kelapa Gading,Simpang Susun Tanjung Priok,-6.1429
106.760648,2024,Kota Adm. Jakarta Selatan,Pesanggrahan,Pesanggrahan,Swadarma ParagonCorp,Jalan Swadarma Raya,-6.23755
106.757893,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Taman Kota,Jalan Daan Mogot,-6.157176
106.976077,2024,Kota Bekasi,Medan Satria,Pejuang,Tanah Apit,Jalan Tanafit,-6.182793
106.781684,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Tanah Kusir,Jalan Sultan Iskandar Muda,-6.256997
106.873928,2024,Kota Adm. Jakarta Timur,Ciracas,Susukan,Tanah Merdeka Arah Barat,Jalan Supriyadi,-6.308216
106.873886,2024,Kota Adm. Jakarta Timur,Ciracas,Rambutan,Tanah Merdeka Arah Timur,Jalan Supriyadi,-6.307866
106.88214,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Tanjung Priok,Jalan Taman Stasiun Tanjung Priok,-6.10959
106.852075,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Tebet Eco Park Arah Timur,Jalan Letnan Jenderal MT Haryono,-6.243056
106.852115,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Tebet Eco Park Arah Barat,Jalan Letnan Jenderal MT Haryono,-6.243338
106.831056,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Tegal Parang Arah Timur,Jalan Jenderal Gatot Subroto,-6.239005
106.830219,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Tegal Parang Arah Barat,Jalan Jenderal Gatot Subroto,-6.238863
106.85715,2024,Kota Adm. Jakarta Timur,Matraman,Matraman,Tegalan,Jalan Matraman,-6.203101
106.831021,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Tegal Mampang,Jalan Kapten Tendean,-6.240213
107.01339,2024,Kota Bekasi,Bekasi Timur,Rawasemut,Terminal Bekasi,Jalan Insinyur Haji Juanda,-6.249502
106.924628,2024,Kota Adm. Jakarta Timur,Cakung,Rawatrate,Tipar Cakung,Jalan Raya Bekasi,-6.183387
